user_id,event_id,timestamp,product_code
1,h,2022-09-16 12:10:00,idea
1,a,2022-09-16 11:30:00,idea
1,a,2022-09-16 11:31:00,idea
1,g,2022-09-16 11:33:00,idea
1,a,2022-09-16 11:36:00,idea
1,q,2022-09-16 11:37:00,idea
1,a,2022-09-16 11:42:00,idea
1,a,2022-09-16 12:42:00,idea
1,b,2022-09-16 13:42:00,idea
1,a,2022-09-16 13:45:00,idea
1,a,2022-09-16 11:49:00,idea
1,a,2022-09-16 11:53:00,idea
1,a,2022-09-16 11:54:00,idea
1,a,2022-09-16 11:41:00,datagrip
1,a,2022-09-16 11:44:00,datagrip
2,a,2022-09-16 11:30:00,idea
2,a,2022-09-16 11:31:00,idea
3,a,2022-09-16 11:33:00,idea
2,a,2022-09-16 11:36:00,idea
4,a,2022-09-16 11:41:00,idea
4,a,2022-09-16 11:44:00,idea
5,a,2022-09-16 11:41:00,datagrip
5,a,2022-09-16 11:44:00,datagrip
